Unnamed: 0,title,duration,album,date,artist,genre,style,id,country,source,lyrics,language,clean_lyrics,sentiment_score,year,month,day
300,I Dont Want To Be Human,213.0,Trinitron,2008,Plug Plug,Rock,"Post-Punk, Post Rock, Experimental, Punk",3073799,Peru,discogs,"1 ContributorI Don’t Want to Be Human LyricsI don't want to feel
Quiero seguir mi instinto
I don't want to be human
I don't want to dream
Mi vida es solo un sueño
I don't want to be human

I don't want to be rich
I don't want to be pobre
I don't want to be human
I don't want to be a man
I don't want to be woman
I don't want to be human",en,I don't want to feel Quiero seguir mi instinto I don't want to be human I don't want to dream Mi vida es solo un sueño I don't want to be human I don't want to be rich I don't want to be pobre I don't want to be human I don't want to be a man I don't want to be woman I don't want to be human,-0.9958145022392272,2008.0,,
301,Radio Station,128.0,Trinitron,2008,Plug Plug,Rock,"Post-Punk, Post Rock, Experimental, Punk",3073799,Peru,discogs,"1 ContributorRadiostation LyricsI need my own radiostation
I need my own radiostation
I need my own radiostation
I need my own radiostation

Rezé a todos los santos
Le escribí a Papá Noel
I need my own radiostation
Rezé a todos los santos
Le escribí a Papá Noel
I need my own radiostation

Hey! What!
I need my own radiostation
Hey! What!
I need my own radiostation
Hey! What!
I need my own radiostation
Hey! What!
I need my own radiostation",en,I need my own radiostation I need my own radiostation I need my own radiostation I need my own radiostation Rezé a todos los santos Le escribí a Papá Noel I need my own radiostation Rezé a todos los santos Le escribí a Papá Noel I need my own radiostation Hey! What! I need my own radiostation Hey! What! I need my own radiostation Hey! What! I need my own radiostation Hey! What! I need my own radiostation,-0.9989790916442872,2008.0,,
302,I Wake Up,137.0,Trinitron,2008,Plug Plug,Rock,"Post-Punk, Post Rock, Experimental, Punk",3073799,Peru,discogs,"1 ContributorI Wake Up LyricsI wake up every day!
I wake up every day!
I wake up every day!
Vivo...

Hey!",en,I wake up every day! I wake up every day! I wake up every day! Vivo... Hey!,0.9972246885299684,2008.0,,
303,1245,170.0,Trinitron,2008,Plug Plug,Rock,"Post-Punk, Post Rock, Experimental, Punk",3073799,Peru,discogs,"1 Contributor1245 Lyrics¡Uno!
¡Un, dos!
¡Uno!
¡Un, dos!

When you talked to me
When you talked to me, ayer
When you talked to me
When you talked to me, ayer

Why'd you said so?
Why'd you said so?
Why'd you said so?
Why'd you said so?

¡Uno!
¡Un, dos!
¡Uno!
¡Un, dos!",en,"¡Uno! ¡Un, dos! ¡Uno! ¡Un, dos! When you talked to me When you talked to me, ayer When you talked to me When you talked to me, ayer Why'd you said so? Why'd you said so? Why'd you said so? Why'd you said so? ¡Uno! ¡Un, dos! ¡Uno! ¡Un, dos!",-0.9872755408287048,2008.0,,
304,Goodbye,119.0,Trinitron,2008,Plug Plug,Rock,"Post-Punk, Post Rock, Experimental, Punk",3073799,Peru,discogs,"1 ContributorGoodbye LyricsI want to say goodbye
I want to say goodbye to you 'cause I really want to be
A different person, I guess
I want to say hello
I want to say hello to my new life, I want to live
Oh sí

Solo sé que nunca te fui infiel
Solo sé que nunca te fui infiel

And I hate myself
And I hate myself
And I hate myself
¡Por ser tan egoísta!

I want to say goodbye
I want to say goodbye to you 'cause I really want to be
A different person, I guess
I want to say hello
I want to say hello to my new life, I want to live
Oh sí

Solo sé quе nunca te fui infiel
Solo sé que nunca tе fui infiel

And I hate myself
And I hate myself
And I hate myself
¡Por ser tan egoísta!",en,"I want to say goodbye I want to say goodbye to you 'cause I really want to be A different person, I guess I want to say hello I want to say hello to my new life, I want to live Oh sí Solo sé que nunca te fui infiel Solo sé que nunca te fui infiel And I hate myself And I hate myself And I hate myself ¡Por ser tan egoísta! I want to say goodbye I want to say goodbye to you 'cause I really want to be A different person, I guess I want to say hello I want to say hello to my new life, I want to live Oh sí Solo sé quе nunca te fui infiel Solo sé que nunca tе fui infiel And I hate myself And I hate myself And I hate myself ¡Por ser tan egoísta!",-0.9367344975471495,2008.0,,
305,Summer Boy,145.0,Trinitron,2008,Plug Plug,Rock,"Post-Punk, Post Rock, Experimental, Punk",3073799,Peru,discogs,"1 ContributorSummer Boy LyricsI hate summer
I hate summer
I hate summer
I hate you!

I don't want to be, I don't want to be
I don't want to be your summer boy!
I don't want to be, I don't want to be
I don't want to be your summer boy!
I don't want to be, I don't want to be
I don't want to be your summer boy!
I don't want to be, I don't want to be
I don't want to be your summer...

I hate summer
I hate summer
I hate summer
I hate you!

I don't want to be, I don't want to be
I don't want to be your summer boy!
I don't want to be, I don't want to be
I don't want to be your summer boy!
I don't want to be, I don't want to be
I don't want to be your summer boy!
I don't want to bе, I don't want to be
I don't want to be your summer...
Boy",en,"I hate summer I hate summer I hate summer I hate you! I don't want to be, I don't want to be I don't want to be your summer boy! I don't want to be, I don't want to be I don't want to be your summer boy! I don't want to be, I don't want to be I don't want to be your summer boy! I don't want to be, I don't want to be I don't want to be your summer... I hate summer I hate summer I hate summer I hate you! I don't want to be, I don't want to be I don't want to be your summer boy! I don't want to be, I don't want to be I don't want to be your summer boy! I don't want to be, I don't want to be I don't want to be your summer boy! I don't want to bе, I don't want to be I don't want to be your summer... Boy",-0.9984130859375,2008.0,,
306,Sarrera II,,S★K★A Republik Concert ,2008,Skalariak,Reggae,Ska,7976665,Spain,discogs,"2 ContributorsSarrera II LyricsIruñeako reggae-ska taldeak Klub Ska aurkezten dizue
Du pays basque, Skalariak
Comment ça va, beti ska, és bienvenido a este lugar
Welcome, welcome, ongi etorri to the Klub Ska

Welcome, welcome, ongi etorri to the Klub Ska",en,"Iruñeako reggae-ska taldeak Klub Ska aurkezten dizue Du pays basque, Skalariak Comment ça va, beti ska, és bienvenido a este lugar Welcome, welcome, ongi etorri to the Klub Ska Welcome, welcome, ongi etorri to the Klub Ska",0.9968273043632508,2008.0,,
307,Sarrera II,,S★K★A Republik Concert ,2008,Skalariak,Reggae,Ska,7976665,Spain,discogs,"2 ContributorsSarrera II LyricsIruñeako reggae-ska taldeak Klub Ska aurkezten dizue
Du pays basque, Skalariak
Comment ça va, beti ska, és bienvenido a este lugar
Welcome, welcome, ongi etorri to the Klub Ska

Welcome, welcome, ongi etorri to the Klub Ska",en,"Iruñeako reggae-ska taldeak Klub Ska aurkezten dizue Du pays basque, Skalariak Comment ça va, beti ska, és bienvenido a este lugar Welcome, welcome, ongi etorri to the Klub Ska Welcome, welcome, ongi etorri to the Klub Ska",0.9968273043632508,2008.0,,
308,Summer,,In My Head It Works,2008,The Race,Rock,Indie Rock,4838931,France,discogs,"1 ContributorNoisy Summer LyricsChewin' on a whip, your little dress is tight
Gonna make me burn, gonna make it right
Tell your little stories and I'll never hope
That I'll end up right beside you when it comes
I'm gonna make it good this hour
Make it true

Dancing on the stairs, I'll never get back home
Gonna laugh and smile, gonna make me moan
Do your little thing and then remember why
You chose me instead of someone else
Why don't you start right now, I know you
Won't regret",en,"Chewin' on a whip, your little dress is tight Gonna make me burn, gonna make it right Tell your little stories and I'll never hope That I'll end up right beside you when it comes I'm gonna make it good this hour Make it true Dancing on the stairs, I'll never get back home Gonna laugh and smile, gonna make me moan Do your little thing and then remember why You chose me instead of someone else Why don't you start right now, I know you Won't regret",0.9993200302124025,2008.0,,
309,Killer,,In My Head It Works,2008,The Race,Rock,Indie Rock,4838931,France,discogs,"3 ContributorsKILLER LyricsShe's standing by my side
With the rain in her hair
She walks away with me
You know people stare
And I know it's not too late to try

Kill for love, and make it so I don't care
Most of the time, I felt so alone
Kill for love, and make it so I don't care
Most of the time, I felt so alone

She's standing by my side
With the rain in her hair
She walks away with me
You know people stare
And I know it's not too late to try

Kill for love, and make it so I don't care
Most of the time, I felt so alone
Kill for love, and makе it so I don't care
Most of the time, I fеlt so alone",en,"She's standing by my side With the rain in her hair She walks away with me You know people stare And I know it's not too late to try Kill for love, and make it so I don't care Most of the time, I felt so alone Kill for love, and make it so I don't care Most of the time, I felt so alone She's standing by my side With the rain in her hair She walks away with me You know people stare And I know it's not too late to try Kill for love, and make it so I don't care Most of the time, I felt so alone Kill for love, and makе it so I don't care Most of the time, I fеlt so alone",-0.979714572429657,2008.0,,
