Unnamed: 0,title,duration,album,date,artist,genre,style,id,country,source,lyrics,language,clean_lyrics,sentiment_score,year,month,day
1196,I Am The Blues,,Les Albums Studio Warner,2020,Johnny Hallyday,"Rock, Blues, Pop",Pop Rock,21191554,France,discogs,"3 ContributorsI Am the Blues LyricsLong black car through the empty park
Feel you like a rainbow in the dark
I got a million dollars and a broken heart
Someone out there could use

They know my name, the thieves and louts
They got no soul, just techno and house
And you're not even as old as my tattoos

I am the Blues
I am the Blues

I talk real sweet, I talk real slow
I'm the voice you've loved on the radio
A pirate with a breast of gold
That stuff makes slaves get bought and sold

Help me, help me realise
I just forgot the colour of my own eyes
All we do is hurt and break and bruise

I am the Blues
I am the Blues

I'm as blue as the Côte d'Azur
And both of us are not so pure
Do I still belong to her?
Aidez-moi, aidez-moi, I can't choose


I am the Blues

Falling through the cracks
The ticker tape and tax
Getting up the back of the music whores and hacks

I stood up to dance
I lost my balance
But my faith in France
Some things you can't lose

I am the Blues, oh I am the Blues
I am the Blues, I am the Blues
I am the Blues, oh I am the Blues
I am the Blues",en,"Long black car through the empty park Feel you like a rainbow in the dark I got a million dollars and a broken heart Someone out there could use They know my name, the thieves and louts They got no soul, just techno and house And you're not even as old as my tattoos I am the Blues I am the Blues I talk real sweet, I talk real slow I'm the voice you've loved on the radio A pirate with a breast of gold That stuff makes slaves get bought and sold Help me, help me realise I just forgot the colour of my own eyes All we do is hurt and break and bruise I am the Blues I am the Blues I'm as blue as the Côte d'Azur And both of us are not so pure Do I still belong to her? Aidez-moi, aidez-moi, I can't choose I am the Blues Falling through the cracks The ticker tape and tax Getting up the back of the music whores and hacks I stood up to dance I lost my balance But my faith in France Some things you can't lose I am the Blues, oh I am the Blues I am the Blues, I am the Blues I am the Blues, oh I am the Blues I am the Blues",-0.9881314039230348,2020.0,,
1197,Unchained Melody / Les Enchainés,,Les Albums Studio Warner,2020,Johnny Hallyday,"Rock, Blues, Pop",Pop Rock,21191554,France,discogs,"6 ContributorsLes enchaînés (Unchained Melody) Lyrics[Paroles de ""Les enchaînés (Unchained Melody)""]

[Couplet 1: Johnny Hallyday, Joss Stone, Both]
Tous les deux enchaînés
I've hungered for your touch
Oh, so long, a lonely time
Nous voguons enchaînés
And time can do so much
Are you still mine?

[Refrain: Johnny Hallyday, Joss Stone]
Nos cœurs, nos mains
Ne font plus qu'un
Godspeed your love to me

[Pont: Joss Stone, Johnny Hallyday]
Lonely rivers flow to the sea, to the sea
To the open arms of the sea, ooh, yeah
Le même soleil sonnera le réveil
D'un amour plus fort que la veille, que la veille, yeah

[Couplet 2: Joss Stone, Johnny Hallyday]
Oh, my love, my darling
I've hungered for, hungered for your touch
A long, lonely time, a long, lonely time, a long, lonely time, baby
Nos deux noms enchaînés
Qui sur la même pierre
Seront gravés


[Refrain: Both, Joss Stone, Johnny Hallyday]
I need your love
I need your love
Nos corps ont faim d'amour
Oh, d'amour
Oh, d'amour",en,"Tous les deux enchaînés I've hungered for your touch Oh, so long, a lonely time Nous voguons enchaînés And time can do so much Are you still mine? Nos cœurs, nos mains Ne font plus qu'un Godspeed your love to me Lonely rivers flow to the sea, to the sea To the open arms of the sea, ooh, yeah Le même soleil sonnera le réveil D'un amour plus fort que la veille, que la veille, yeah Oh, my love, my darling I've hungered for, hungered for your touch A long, lonely time, a long, lonely time, a long, lonely time, baby Nos deux noms enchaînés Qui sur la même pierre Seront gravés I need your love I need your love Nos corps ont faim d'amour Oh, d'amour Oh, d'amour",0.9914295077323914,2020.0,,
1198,Back In La,,Les Albums Studio Warner,2020,Johnny Hallyday,"Rock, Blues, Pop",Pop Rock,21191554,France,discogs,"2 ContributorsBack in LA Lyrics[Paroles de ""Back in LA""]

[Couplet 1]
Depuis que t'es parti je ne vois plus le soleil
De toute façon, la ville n’est plus pareille
Il fait si chaud qu'on ne voit plus vraiment bien le ciel
De toute façon, j'ai pas sommeil
Mais qu’est-ce qui t'as pris comme ça tout d'un coup
De vouloir autre chose que nous
Mais qu'est-ce qui t'as pris de vouloir t'en aller
Je ne vais quand même pas me mettre à pleurer

[Refrain]
I want you back in LA, I want you back in LA
C'est ici que je t'aime
I want you back in LA, I want you back in LA
C’est ici que je t’attend
I want you back in LA, I want you back in LA
Je t'attend, je t’aime
I want you back in LA, I want you back in LA
I want you back in LA, I want you back in LA

[Couplet 2]
Depuis que t'es parti je n'écoute plus les nouvelles
La ville est devenue cruelle
Il fait si chaud comme si on m'avait coupé les ailes
Je tourne en rond, j’ai pas sommeil
Mais qu'est-ce qui m'a pris comme ça je suis fou
De ne pas m'être mis à genoux
Mais qu'est-ce qui m'a pris de ne pas m'excuser
J'ai tant de choses à me faire pardonner


[Refrain]
I want you back in LA, I want you back in LA
C'est ici que je t'aime
I want you back in LA, I want you back in LA
C'est ici que je t'attend
I want you back in LA, I want you back in LA
Je t'attend, je t'aime
I want you back in LA, I want you back in LA
I want you back in LA, I want you back in LA

[Refrain]
I want you back in LA, I want you back in LA
C'est ici que je t'aime
I want you back in LA, I want you back in LA
C'est ici que je t'attend
I want you back in LA, I want you back in LA
Je t'attend, je t'aime
I want you back in LA, I want you back in LA
I want you back in LA, I want you back in LA
I want you back in LA - I want you back in LA
I want you back in LA - I want you back in LA",en,"Depuis que t'es parti je ne vois plus le soleil De toute façon, la ville n’est plus pareille Il fait si chaud qu'on ne voit plus vraiment bien le ciel De toute façon, j'ai pas sommeil Mais qu’est-ce qui t'as pris comme ça tout d'un coup De vouloir autre chose que nous Mais qu'est-ce qui t'as pris de vouloir t'en aller Je ne vais quand même pas me mettre à pleurer I want you back in LA, I want you back in LA C'est ici que je t'aime I want you back in LA, I want you back in LA C’est ici que je t’attend I want you back in LA, I want you back in LA Je t'attend, je t’aime I want you back in LA, I want you back in LA I want you back in LA, I want you back in LA Depuis que t'es parti je n'écoute plus les nouvelles La ville est devenue cruelle Il fait si chaud comme si on m'avait coupé les ailes Je tourne en rond, j’ai pas sommeil Mais qu'est-ce qui m'a pris comme ça je suis fou De ne pas m'être mis à genoux Mais qu'est-ce qui m'a pris de ne pas m'excuser J'ai tant de choses à me faire pardonner I want you back in LA, I want you back in LA C'est ici que je t'aime I want you back in LA, I want you back in LA C'est ici que je t'attend I want you back in LA, I want you back in LA Je t'attend, je t'aime I want you back in LA, I want you back in LA I want you back in LA, I want you back in LA I want you back in LA, I want you back in LA C'est ici que je t'aime I want you back in LA, I want you back in LA C'est ici que je t'attend I want you back in LA, I want you back in LA Je t'attend, je t'aime I want you back in LA, I want you back in LA I want you back in LA, I want you back in LA I want you back in LA - I want you back in LA I want you back in LA - I want you back in LA",-0.8320198655128479,2020.0,,
1199,Winter Stories,,Winter Stories: Live From The Oslo Opera House,2020,"Jonas Fjeld, Judy Collins","Folk, World, & Country",Bluegrass,16528035,USA & Canada,discogs,"1 ContributorWinter Stories LyricsI feel a shiver through the curtain
There's silver tracery on the pane
And all I think I know for certain
Is somehow, some way
The light will come again

Now the yellow moon is staring
Like a lantern through the trees
And I have reached the point of daring
To love you, love you
My restless heart at ease

I'll pull the covers up around my shoulders
Feed the fire with my fading fears
Some winter stories foretell a storm
Some winter storiеs can make you warm

There's a chaptеr in the embers
And a chapter in the frost
And what the healing night remembers
Is mostly what I've won
Not what I have lost

So I'll pull the covers up around my shoulders
And feed the fire with my fading fears
Some winter stories foretell a storm
Some winter stories can keep you warm


One last flicker of old sorrow
One last page to turn, and then
I'll tell a newborn tale tomorrow
Of winter stories
How the light has come again",en,"I feel a shiver through the curtain There's silver tracery on the pane And all I think I know for certain Is somehow, some way The light will come again Now the yellow moon is staring Like a lantern through the trees And I have reached the point of daring To love you, love you My restless heart at ease I'll pull the covers up around my shoulders Feed the fire with my fading fears Some winter stories foretell a storm Some winter storiеs can make you warm There's a chaptеr in the embers And a chapter in the frost And what the healing night remembers Is mostly what I've won Not what I have lost So I'll pull the covers up around my shoulders And feed the fire with my fading fears Some winter stories foretell a storm Some winter stories can keep you warm One last flicker of old sorrow One last page to turn, and then I'll tell a newborn tale tomorrow Of winter stories How the light has come again",0.994160294532776,2020.0,,
1200,Sweet Refrain,,Winter Stories: Live From The Oslo Opera House,2020,"Jonas Fjeld, Judy Collins","Folk, World, & Country",Bluegrass,16528035,USA & Canada,discogs,"1 ContributorSweet Refrain LyricsThere's a hole in this old cowboy, he's a million miles away
From the friends that he's known and lost along the way
He sits at his piano and fumbles at a tune
That brings them all to life in the corners of the room

There's a dream in this old cowgirl that's lived so many years
The source of her strength, the freedom from her fears
She picks a lonely guitar in the corner of the room
And sings aloud to no one the sketches of a tune

There's song they sing in heaven - a simple sweet refrain
A chord they play together that doesn't have a name
A melody that's found riding on the wind
It greets you like a stranger and leaves you as a friend

When there's nothing left for leaving and the golden sun has set
Say goodnight to the day and lay your head to rest
Deep within your dreams a silver light will shine
The earth will open up and pull you deep inside

There's a song they sing in heaven - a simple sweet refrain
A chord they play together that doesn't have a name
A melody that's found riding on the wind
It greets you like a stranger and leaves you as a friend",en,"There's a hole in this old cowboy, he's a million miles away From the friends that he's known and lost along the way He sits at his piano and fumbles at a tune That brings them all to life in the corners of the room There's a dream in this old cowgirl that's lived so many years The source of her strength, the freedom from her fears She picks a lonely guitar in the corner of the room And sings aloud to no one the sketches of a tune There's song they sing in heaven - a simple sweet refrain A chord they play together that doesn't have a name A melody that's found riding on the wind It greets you like a stranger and leaves you as a friend When there's nothing left for leaving and the golden sun has set Say goodnight to the day and lay your head to rest Deep within your dreams a silver light will shine The earth will open up and pull you deep inside There's a song they sing in heaven - a simple sweet refrain A chord they play together that doesn't have a name A melody that's found riding on the wind It greets you like a stranger and leaves you as a friend",0.989284336566925,2020.0,,
1201,Northwest Passage,,Winter Stories: Live From The Oslo Opera House,2020,"Jonas Fjeld, Judy Collins","Folk, World, & Country",Bluegrass,16528035,USA & Canada,discogs,"1 ContributorNorthwest Passage LyricsWestward from the Davis Strait, 'tis there 'twas said to lie
The sea route to the Orient for which so many died
Seeking gold and glory, leaving weathered, broken bones
And a long-forgotten lonely cairn of stones

Ah, for just one time I would take the Northwest Passage
To find the hand of Franklin reaching for the Beaufort Sea
Tracing one warm line through a land so wild and savage
And make a northwest passage to the sea

Three centuries thereafter, I take passage overland
In the footsteps of brave Kelso, where his sea of flowers began
Watching cities rise before me, then behind me sink again
This tardiest explorer, driving hard across the plain

Ah, for just one time I would take the Northwest Passage
To find the hand of Franklin reaching for the Beaufort Sea
Tracing one warm line through a land so wild and savage
And make a northwest passage to the sea

And through the night, behind the wheel, the mileage clicking west
I think upon Mackenzie, David Thompson and the rest
Who cracked the mountain ramparts and did show a path for me
To race the roaring Fraser to the sea

Ah, for just one time I would take the Northwest Passage
To find the hand of Franklin reaching for the Beaufort Sea
Tracing one warm line through a land so wild and savage
And make a northwest passage to the sea


How then am I so different from the first men through this way?
Like them, I left a settled life, I threw it all away
To seek a northwest passage at the call of many men
To find there but the road back home again

Ah, for just one time I would take the Northwest Passage
To find the hand of Franklin reaching for the Beaufort Sea
Tracing one warm line through a land so wild and savage
And make a northwest passage to the sea

And make a northwest passage to the sea",en,"Westward from the Davis Strait, 'tis there 'twas said to lie The sea route to the Orient for which so many died Seeking gold and glory, leaving weathered, broken bones And a long-forgotten lonely cairn of stones Ah, for just one time I would take the Northwest Passage To find the hand of Franklin reaching for the Beaufort Sea Tracing one warm line through a land so wild and savage And make a northwest passage to the sea Three centuries thereafter, I take passage overland In the footsteps of brave Kelso, where his sea of flowers began Watching cities rise before me, then behind me sink again This tardiest explorer, driving hard across the plain Ah, for just one time I would take the Northwest Passage To find the hand of Franklin reaching for the Beaufort Sea Tracing one warm line through a land so wild and savage And make a northwest passage to the sea And through the night, behind the wheel, the mileage clicking west I think upon Mackenzie, David Thompson and the rest Who cracked the mountain ramparts and did show a path for me To race the roaring Fraser to the sea Ah, for just one time I would take the Northwest Passage To find the hand of Franklin reaching for the Beaufort Sea Tracing one warm line through a land so wild and savage And make a northwest passage to the sea How then am I so different from the first men through this way? Like them, I left a settled life, I threw it all away To seek a northwest passage at the call of many men To find there but the road back home again Ah, for just one time I would take the Northwest Passage To find the hand of Franklin reaching for the Beaufort Sea Tracing one warm line through a land so wild and savage And make a northwest passage to the sea And make a northwest passage to the sea",-0.957542896270752,2020.0,,
1202,River,,Winter Stories: Live From The Oslo Opera House,2020,"Jonas Fjeld, Judy Collins","Folk, World, & Country",Bluegrass,16528035,USA & Canada,discogs,"1 ContributorRiver LyricsIt's coming on Christmas, they're cutting down trees
They're putting up reindeer
And singing songs of joy and peace
Oh, I wish I had a river I could skate away on

But it don't snow here, it stays pretty green
I'm going to make a lot of money
Then I'm going to quit this crazy scene
I wish I had a river I could skate away on

I wish I had a river so long
I would teach my feet to fly
Oh, I wish I had a river I could skate away on
I made my baby cry

He tried hard to help me
You know, he put me at ease
And he loved me so naughty
Made me weak in the knees
Oh, I wish I had a river I could skate away on

I'm so hard to handle, I'm selfish and I'm sad
Now I've gone and lost the best baby
That I ever had
Oh, I wish I had a river I could skate away on


I wish I had a river so long
I would teach my feet to fly
Oh, I wish I had a river I could skate away on
I made my baby say goodbye

It's coming on Christmas
They're cutting down trees
They're putting up reindeer
And singing songs of joy and peace
Oh, I wish I had a river I could skate away on",en,"It's coming on Christmas, they're cutting down trees They're putting up reindeer And singing songs of joy and peace Oh, I wish I had a river I could skate away on But it don't snow here, it stays pretty green I'm going to make a lot of money Then I'm going to quit this crazy scene I wish I had a river I could skate away on I wish I had a river so long I would teach my feet to fly Oh, I wish I had a river I could skate away on I made my baby cry He tried hard to help me You know, he put me at ease And he loved me so naughty Made me weak in the knees Oh, I wish I had a river I could skate away on I'm so hard to handle, I'm selfish and I'm sad Now I've gone and lost the best baby That I ever had Oh, I wish I had a river I could skate away on I wish I had a river so long I would teach my feet to fly Oh, I wish I had a river I could skate away on I made my baby say goodbye It's coming on Christmas They're cutting down trees They're putting up reindeer And singing songs of joy and peace Oh, I wish I had a river I could skate away on",-0.9977499842643738,2020.0,,
1203,Angels In The Snow,,Winter Stories: Live From The Oslo Opera House,2020,"Jonas Fjeld, Judy Collins","Folk, World, & Country",Bluegrass,16528035,USA & Canada,discogs,"2 ContributorsAngels in the Snow LyricsEngler i snøen har sin egen sang
Når natta er som svartest synger de om soloppgang
Jeg stod i skyggene i regn og vind
Jeg var en fremmed til du åpnet deg og lot meg inn

Caught in the wild, angels in the wind
Silhouettes harmonize as the darkness takes them in
The song has no words, just a sweet surprise
Hearts that can hear it know the only chains are to the sky

So hold me, stay with and know me
Hold me till the morning is trading a lover for a friend
So let me be a part of you now
Hear your body singing till heaven is breaking apart
Angels find their way home again

Angels draw their wings in the snow
Hiding for awhile before they fly where they must go
Angels, they seek the dark and silent nights
Running from the dawn and the coming of the light

Footsteps and shadows slowly passing by
What can they see when the evening light is in their eyes?
Angels are in the snow, there's no escape
They know when springtime comes, they'll disappear without a trace


So hold me, stay with and know me
Hold me till the morning is trading a lover for a friend
So let me be a part of you now
Hear your body singing till heaven is breaking apart
Angels find their way back home

Angels find their way back home
Angels find their way home again
Angels, angels, angels
Angels find their way home again",en,"Engler i snøen har sin egen sang Når natta er som svartest synger de om soloppgang Jeg stod i skyggene i regn og vind Jeg var en fremmed til du åpnet deg og lot meg inn Caught in the wild, angels in the wind Silhouettes harmonize as the darkness takes them in The song has no words, just a sweet surprise Hearts that can hear it know the only chains are to the sky So hold me, stay with and know me Hold me till the morning is trading a lover for a friend So let me be a part of you now Hear your body singing till heaven is breaking apart Angels find their way home again Angels draw their wings in the snow Hiding for awhile before they fly where they must go Angels, they seek the dark and silent nights Running from the dawn and the coming of the light Footsteps and shadows slowly passing by What can they see when the evening light is in their eyes? Angels are in the snow, there's no escape They know when springtime comes, they'll disappear without a trace So hold me, stay with and know me Hold me till the morning is trading a lover for a friend So let me be a part of you now Hear your body singing till heaven is breaking apart Angels find their way back home Angels find their way back home Angels find their way home again Angels, angels, angels Angels find their way home again",0.9874461889266968,2020.0,,
1204,Highwayman,,Winter Stories: Live From The Oslo Opera House,2020,"Jonas Fjeld, Judy Collins","Folk, World, & Country",Bluegrass,16528035,USA & Canada,discogs,"1 ContributorHighwayman LyricsI was a highwayman
Along the coach roads I did ride
With sword and pistol by my side
Many a young maid lost her baubles to my trade
Many a soldier shed his life blood on my blade
The bastards hung me in the spring of '25
But I am still alive

I was a sailor
I was born upon the tide
And with the sea I did abide
I sailed a schooner 'round the horn to Mexico
I went aloft to furl the mainsail in a blow
And when the yards broke off they said that I got killed
But I am living still

I was a dam builder
Across the river deep and wide
Where steel and water did collide
A place called Boulder on the wild Colorado
I slippеd and fell into the wet concrеte below
They buried me in that great tomb that knows no sound
But I am still around
I'll always be around, and around
And around, and around...


I'll fly a starship
Across the Universe divide
And when I reach the other side
I'll find a place to rest my spirit if I can
Perhaps I may become a highwayman again
Or I may simply be a single drop of rain
But I will remain
And I'll be back again
And again, and again, and again, and again",en,"I was a highwayman Along the coach roads I did ride With sword and pistol by my side Many a young maid lost her baubles to my trade Many a soldier shed his life blood on my blade The bastards hung me in the spring of '25 But I am still alive I was a sailor I was born upon the tide And with the sea I did abide I sailed a schooner 'round the horn to Mexico I went aloft to furl the mainsail in a blow And when the yards broke off they said that I got killed But I am living still I was a dam builder Across the river deep and wide Where steel and water did collide A place called Boulder on the wild Colorado I slippеd and fell into the wet concrеte below They buried me in that great tomb that knows no sound But I am still around I'll always be around, and around And around, and around... I'll fly a starship Across the Universe divide And when I reach the other side I'll find a place to rest my spirit if I can Perhaps I may become a highwayman again Or I may simply be a single drop of rain But I will remain And I'll be back again And again, and again, and again, and again",0.7951773405075073,2020.0,,
1205,Frozen North,,Winter Stories: Live From The Oslo Opera House,2020,"Jonas Fjeld, Judy Collins","Folk, World, & Country",Bluegrass,16528035,USA & Canada,discogs,"1 ContributorFrozen North LyricsThe cat is sleeping, curled up on the bed
Nestled soft against your naked breast
And the snow is like a blanket on the earth
Pulled up snug against the window ledge

And I feel just like a child again
Safe in loving arms
Funny, I should be so warm tonight
Here in the frozen north

I left my friends in Tennessee behind
The southern nights had grown too cold for me
I came here to try to hide my emptiness
Didn't figure on your company

And I feel just like a child again
Safe in loving arms
Funny, I should be so warm tonight
Hеre in the frozen north

And thе earth is like a jewel in the dark
It can only shine if love provides a spark
Here with you I know that I'm a part
Of a light that is reflecting to the stars

The coldest night that winter ever knew
Is warmer than the ice of loneliness
And I have known a winter of the heart
And found the summer of your gentleness


And I feel just like a child again
Safe in loving arms
Funny I should feel so warm tonight
Here in the frozen north

I didn't know that it could feel so right
Here in the frozen north",en,"The cat is sleeping, curled up on the bed Nestled soft against your naked breast And the snow is like a blanket on the earth Pulled up snug against the window ledge And I feel just like a child again Safe in loving arms Funny, I should be so warm tonight Here in the frozen north I left my friends in Tennessee behind The southern nights had grown too cold for me I came here to try to hide my emptiness Didn't figure on your company And I feel just like a child again Safe in loving arms Funny, I should be so warm tonight Hеre in the frozen north And thе earth is like a jewel in the dark It can only shine if love provides a spark Here with you I know that I'm a part Of a light that is reflecting to the stars The coldest night that winter ever knew Is warmer than the ice of loneliness And I have known a winter of the heart And found the summer of your gentleness And I feel just like a child again Safe in loving arms Funny I should feel so warm tonight Here in the frozen north I didn't know that it could feel so right Here in the frozen north",0.998703956604004,2020.0,,
