release_id,album_title,track_title,track_position,duration,year,country,genre,style,artist,source,lyrics
3401305,Like A Soldier Dipped In Egg,Relaxed Exercises And Movement For Frail People,1,,2008,UK & Europe,Rock,Math Rock,San Luis Obispo,discogs,
3401305,Like A Soldier Dipped In Egg,"""Ere, You Been Eating Shit On Yer Head?""",2,,2008,UK & Europe,Rock,Math Rock,San Luis Obispo,discogs,
3401305,Like A Soldier Dipped In Egg,I Wrote A Song And It Was Called THIS,3,,2008,UK & Europe,Rock,Math Rock,San Luis Obispo,discogs,
3401305,Like A Soldier Dipped In Egg,"Go Kart, Go",4,,2008,UK & Europe,Rock,Math Rock,San Luis Obispo,discogs,
3401305,Like A Soldier Dipped In Egg,Don't Dent My Dentist,5,,2008,UK & Europe,Rock,Math Rock,San Luis Obispo,discogs,
3401305,Like A Soldier Dipped In Egg,"Eggs Is Eggs, Benedict",6,,2008,UK & Europe,Rock,Math Rock,San Luis Obispo,discogs,
2533276,Music To Fuck To,Ophelia I,1,1:14,2008,US,Electronic,Ambient,OF AIRE,discogs,
2533276,Music To Fuck To,Lilith I,2,8:21,2008,US,Electronic,Ambient,OF AIRE,discogs,
2533276,Music To Fuck To,Lilith II,3,8:55,2008,US,Electronic,Ambient,OF AIRE,discogs,
2533276,Music To Fuck To,Lilith III,4,8:29,2008,US,Electronic,Ambient,OF AIRE,discogs,
2533276,Music To Fuck To,Ophelia II,5,2:52,2008,US,Electronic,Ambient,OF AIRE,discogs,
3073799,Trinitron,Revolución,1,1:48,2008,Peru,Rock,"Post-Punk, Post Rock, Experimental, Punk",Plug Plug,discogs,"1 ContributorRevolución LyricsLima necesita una revolución
And we have to do something
Lima necesita una revolución
And we have to do something
Lima necesita una revolución
And we have to do something
Lima necesita una revolución
And we have to do something now

¿Qué dices tú?"
3073799,Trinitron,No Me Desarmes,2,1:31,2008,Peru,Rock,"Post-Punk, Post Rock, Experimental, Punk",Plug Plug,discogs,"1 ContributorNo Me Desarmes LyricsTe escuché hablando con mi ma
Y le dijiste que yo era un problema
Cuando yo solo quiero ser como tú
Pero tú no te das cuenta

Tan sólo quiero vivir
No me desarmes
Tan sólo quiero vivir
No me desarmes

Te escuché hablando con mi pa
Y le dijiste que no me querías
Cuando tan sólo quiero amarte
Quiero amarte toda mi vida

Tan sólo quiero vivir
Tan solo quiero vivir
Tan sólo quiero vivir
No me desarmes"
3073799,Trinitron,I Dont Want To Be Human,3,3:33,2008,Peru,Rock,"Post-Punk, Post Rock, Experimental, Punk",Plug Plug,discogs,"1 ContributorI Don’t Want to Be Human LyricsI don't want to feel
Quiero seguir mi instinto
I don't want to be human
I don't want to dream
Mi vida es solo un sueño
I don't want to be human

I don't want to be rich
I don't want to be pobre
I don't want to be human
I don't want to be a man
I don't want to be woman
I don't want to be human"
3073799,Trinitron,No Quiero Ser Yo,4,1:26,2008,Peru,Rock,"Post-Punk, Post Rock, Experimental, Punk",Plug Plug,discogs,"1 ContributorNo Quiero Ser Yo LyricsWoh-oh-oh
No quiero ser yo
Woh-oh-oh
No quiero estar en mi cuerpo

Woh-oh-oh
Estoy lleno de problemas
Woh-oh-oh
Paso por un mal momento

No quiero ser yo
No quiero ser yo
No quiero ser yo
No quiero ser

Woh-oh-oh
No quiero ser yo
Woh-oh-oh
No quiero estar en mi cuerpo

Woh-oh-oh
Estoy lleno de problemas
Woh-oh-oh
Paso por un mal momento

No quiero ser yo
No quiero ser yo
No quiero ser yo
No quiero ser"
3073799,Trinitron,Comeback,5,2:35,2008,Peru,Rock,"Post-Punk, Post Rock, Experimental, Punk",Plug Plug,discogs,"1 ContributorCome Back LyricsCuando recuerdo todo lo que te dije
Mi vida se vuelve triste
Cuando pienso en que ya te perdí
Mi vida se vuelve triste
Cuando rompes un corazón sin ninguna razón
Tu vida se vuelve triste
Una vida sin amor es una vida sin sabor

Come back to me
Come back to me
Come back to me
Come back to me
Come back to me
Come back to me
Come back to me
Come back to...

He pensado mil veces en lo que hice
Siempre justificándome
Sé que nunca vas a perdonarme
Y no quiero que lo hagas
Porque cuando decidí hacer lo que hice
Buscaba sentirme triste
Una vida sin amor, una vida sin sabor

Come back to me
Come back to me
Come back to me
Come back to me
Come back to me
Come back to me
Come back to me
Come back to..."
3073799,Trinitron,Radio Station,6,2:08,2008,Peru,Rock,"Post-Punk, Post Rock, Experimental, Punk",Plug Plug,discogs,"1 ContributorRadiostation LyricsI need my own radiostation
I need my own radiostation
I need my own radiostation
I need my own radiostation

Rezé a todos los santos
Le escribí a Papá Noel
I need my own radiostation
Rezé a todos los santos
Le escribí a Papá Noel
I need my own radiostation

Hey! What!
I need my own radiostation
Hey! What!
I need my own radiostation
Hey! What!
I need my own radiostation
Hey! What!
I need my own radiostation"
3073799,Trinitron,I Wake Up,7,2:17,2008,Peru,Rock,"Post-Punk, Post Rock, Experimental, Punk",Plug Plug,discogs,"1 ContributorI Wake Up LyricsI wake up every day!
I wake up every day!
I wake up every day!
Vivo...

Hey!"
3073799,Trinitron,Otra Vez,8,2:46,2008,Peru,Rock,"Post-Punk, Post Rock, Experimental, Punk",Plug Plug,discogs,"1 ContributorOtra Vez LyricsLa cagué otra vez
La cagué otra vez
La cagué otra vez, siempre es igual
La cagué otra vez
La cagué otra vez, sí
¿Y qué?

No me siento bien y no quiero sentirme mejor
Cometí un error y voy a sobrevivir con esto
No me siento bien y no quiero sentirme mejor
Cometí un error y voy a sobrevivir con esto

La cagué otra vez
La cagué otra vez
La cagué otra vez, siempre es igual
La cagué otra vez
La cagué otra vez, sí
¿Y qué?

Hoy no me siento bien y no quiero sentirme mejor
Hoy cometí un error y voy a sobrevivir con esto
Hoy no me siento bien y no quiero sentirme mejor
Hoy cometí un error y voy a sobrevivir con esto"
